Data size, BST os-select, randomised select, select
6200,714272.000, 24330.000, 227825.800
6300,731239.600, 23609.600, 235465.500
6400,731496.200, 19159.600, 236995.600
6500,752034.600, 29482.500, 238964.600
6600,749218.000, 28454.500, 246594.500
6700,763476.600, 28137.400, 239071.800
6800,801481.500, 28172.000, 268379.100
6900,818734.500, 23787.100, 247157.500
7000,819241.700, 31325.200, 251240.300
7100,877177.800, 38538.000, 290431.700
7200,948985.700, 22810.400, 289198.400
7300,860486.700, 21904.300, 270530.200
7400,880672.800, 24551.400, 272199.200
7500,907226.000, 27110.600, 271878.000
7600,945990.900, 37294.500, 275356.300
7700,929050.300, 35374.500, 277746.300
7800,956082.700, 35796.400, 283442.700
7900,949747.300, 37727.500, 286359.500
8000,973063.000, 27555.100, 294795.400
8100,1000636.500, 29460.600, 302649.000
8200,1024472.500, 32886.500, 299139.500
8300,1044580.800, 33164.600, 309900.500
8400,1277141.000, 39212.000, 305822.900
8500,1056607.200, 27853.300, 307737.900
8600,1078715.200, 25450.300, 314548.300
8700,1066173.000, 45045.000, 312933.000
8800,1063360.100, 36016.800, 308027.500
8900,1295465.100, 50293.100, 373942.800
9000,1118091.200, 40522.300, 329292.300
9100,1142760.800, 38491.800, 329061.500
9200,1154155.400, 38811.700, 327304.300
9300,1151926.300, 32269.000, 342790.900
9400,1186111.700, 39810.700, 338607.600
9500,1188826.700, 34890.700, 348636.700
9600,1240276.700, 39114.000, 353430.500
9700,1218772.200, 40064.200, 338050.900
9800,1225469.000, 33488.500, 365918.700
9900,1250107.300, 33241.900, 342767.400
10000,1252725.000, 41165.500, 363825.900
